iter	Passed	Remaining
220	4140	14594
221	4155	14562
222	4167	14519
223	4174	14461
224	4187	14422
225	4205	14402
226	4213	14348
227	4225	14308
228	4233	14254
229	4246	14217
230	4255	14167
231	4266	14122
232	4275	14075
233	4292	14050
234	4304	14011
235	4311	13957
236	4320	13909
237	4327	13855
238	4342	13826
239	4353	13785
240	4360	13731
241	4370	13688
242	4385	13661
243	4402	13641
244	4411	13595
245	4422	13553
246	4431	13509
247	4441	13469
248	4455	13437
249	4463	13389
250	4471	13341
251	4485	13312
252	4497	13279
253	4506	13236
254	4515	13192
255	4525	13151
256	4535	13111
257	4549	13085
258	4558	13041
259	4565	12994
260	4583	12976
261	4592	12936
262	4600	12890
263	4615	12866
264	4623	12823
265	4633	12784
266	4643	12748
267	4654	12712
268	4661	12668
269	4677	12647
270	4687	12609
271	4699	12578
272	4711	12546
273	4719	12504
274	4733	12479
275	4743	12444
276	4753	12405
277	4760	12364
278	4772	12334
279	4783	12300
280	4796	12272
281	4806	12238
282	4814	12198
283	4825	12166
284	4838	12137
285	4852	12113
286	4861	12076
287	4874	12051
288	4888	12025
289	4904	12007
290	4917	11980
291	4936	11969
292	4946	11935
293	4955	11899
294	4975	11890
295	4985	11857
296	5008	11853
297	5021	11829
298	5034	11803
299	5045	11772
300	5055	11739
301	5072	11724
302	5083	11693
303	5094	11663
304	5106	11635
305	5128	11631
306	5141	11605
307	5149	11568
308	5159	11537
309	5171	11511
310	5181	11479
311	5193	11452
312	5207	11429
313	5216	11397
314	5228	11370
315	5237	11337
316	5244	11299
317	5255	11271
318	5265	11240
319	5273	11206
320	5280	11170
321	5290	11139
322	5300	11109
323	5310	11080
324	5323	11057
325	5331	11022
326	5339	10988
327	5346	10953
328	5357	10926
329	5376	10916
330	5390	10894
331	5398	10861
332	5416	10849
333	5425	10818
334	5433	10786
335	5440	10752
336	5448	10719
337	5462	10698
338	5470	10666
339	5476	10631
340	5485	10601
341	5497	10576
342	5512	10558
343	5528	10542
344	5539	10517
345	5554	10499
346	5563	10469
347	5571	10437
348	5584	10417
349	5597	10395
350	5613	10379
351	5630	10364
352	5665	10384
353	5678	10362
354	5691	10340
355	5701	10314
356	5717	10298
357	5731	10277
358	5747	10261
359	5755	10231
360	5773	10219
361	5784	10195
362	5796	10171
363	5808	10149
364	5823	10130
365	5835	10109
366	5844	10080
367	5855	10056
368	5866	10032
369	5878	10009
370	5886	9980
371	5894	9950
372	5903	9923
373	5912	9896
374	5927	9878
375	5940	9858
376	5948	9829
377	5959	9805
378	5971	9784
379	5984	9763
380	5993	9737
381	6003	9712
382	6012	9685
383	6021	9659
384	6029	9631
385	6041	9610
386	6052	9586
387	6060	9559
388	6069	9533
389	6076	9504
390	6084	9476
391	6091	9447
392	6103	9427
393	6113	9403
394	6122	9377
395	6135	9358
396	6145	9334
397	6158	9315
398	6171	9296
399	6179	9269
400	6186	9241
401	6193	9213
402	6203	9189
403	6214	9168
404	6222	9141
405	6234	9121
406	6246	9100
407	6260	9084
408	6269	9059
409	6297	9062
410	6305	9035
411	6315	9013
412	6323	8987
413	6333	8964
414	6343	8942
415	6363	8933
416	6371	8907
417	6381	8884
418	6388	8859
419	6401	8840
420	6410	8816
421	6424	8799
422	6434	8777
423	6445	8756
424	6458	8738
425	6466	8713
426	6493	8714
427	6508	8697
428	6523	8683
429	6537	8666
430	6565	8667
431	6575	8645
432	6595	8636
433	6607	8617
434	6622	8602
435	6633	8580
436	6644	8560
437	6658	8544
438	6669	8522
439	6678	8499
440	6694	8485
441	6709	8469
442	6724	8454
443	6738	8438
444	6754	8423
445	6764	8402
446	6779	8386
447	6792	8369
448	6804	8350
449	6815	8330
450	6825	8308
451	6837	8289
452	6851	8273
453	6865	8256
454	6883	8244
455	6895	8225
456	6907	8207
457	6927	8198
458	6945	8185
459	6973	8186
460	6986	8168
461	6997	8148
462	7008	8128
463	7017	8106
464	7029	8087
465	7042	8070
466	7055	8052
467	7065	8031
468	7092	8030
469	7108	8015
470	7116	7993
471	7131	7977
472	7148	7964
473	7156	7941
474	7168	7922
475	7182	7906
476	7192	7885
477	7208	7871
478	7216	7849
479	7230	7832
480	7246	7818
481	7256	7798
482	7265	7777
483	7277	7758
484	7291	7742
485	7310	7732
486	7324	7715
487	7339	7700
488	7350	7680
489	7359	7660
490	7368	7638
491	7379	7619
492	7393	7603
493	7410	7590
494	7425	7575
495	7439	7559
496	7447	7537
497	7460	7520
498	7471	7501
499	7480	7480
500	7491	7461
501	7504	7444
502	7524	7434
503	7534	7414
504	7544	7395
505	7559	7380
506	7571	7362
507	7581	7342
508	7588	7320
509	7601	7302
510	7622	7294
511	7635	7277
512	7645	7258
513	7655	7238
514	7667	7220
515	7682	7206
516	7690	7184
517	7702	7167
518	7712	7147
519	7730	7135
520	7740	7116
521	7753	7099
522	7765	7082
523	7777	7065
524	7786	7045
525	7801	7030
526	7813	7013
527	7827	6997
528	7838	6979
529	7848	6960
530	7859	6942
531	7869	6922
532	7880	6904
533	7893	6888
534	7908	6873
535	7920	6856
536	7939	6845
537	7947	6824
538	7957	6806
539	7967	6787
540	7980	6770
541	7991	6752
542	8000	6733
543	8014	6717
544	8028	6702
545	8043	6687
546	8060	6675
547	8071	6657
548	8081	6638
549	8093	6622
550	8109	6608
551	8127	6596
552	8138	6578
553	8148	6559
554	8166	6548
555	8179	6531
556	8192	6516
557	8204	6498
558	8215	6481
559	8225	6462
560	8236	6445
561	8251	6430
562	8261	6412
563	8282	6402
564	8293	6385
565	8309	6371
566	8324	6357
567	8336	6340
568	8348	6324
569	8365	6310
570	8374	6291
571	8392	6279
572	8403	6262
573	8414	6244
574	8426	6228
575	8450	6220
576	8463	6204
577	8474	6187
578	8488	6172
579	8510	6162
580	8525	6148
581	8534	6129
582	8546	6113
583	8576	6109
584	8595	6098
585	8617	6087
586	8635	6075
587	8661	6068
588	8678	6055
589	8708	6051
590	8719	6034
591	8748	6029
592	8758	6011
593	8768	5993
594	8784	5979
595	8797	5963
596	8814	5950
597	8825	5933
598	8842	5919
599	8872	5915
600	8898	5907
601	8912	5891
602	8921	5873
603	8933	5857
604	8945	5840
605	8954	5821
606	8973	5809
607	8983	5792
608	9000	5778
609	9008	5759
610	9018	5741
611	9029	5724
612	9044	5709
613	9052	5691
614	9060	5671
615	9069	5654
616	9080	5636
617	9089	5618
618	9102	5602
619	9110	5583
620	9119	5565
621	9129	5548
622	9138	5530
623	9146	5511
624	9154	5492
625	9160	5473
626	9171	5455
627	9185	5440
628	9199	5425
629	9217	5413
630	9229	5397
631	9239	5380
632	9247	5361
633	9256	5343
634	9265	5325
635	9276	5309
636	9288	5292
637	9299	5276
638	9310	5260
639	9320	5242
640	9333	5227
641	9341	5209
642	9348	5190
643	9360	5174
644	9367	5155
645	9378	5139
646	9387	5121
647	9396	5104
648	9408	5088
649	9418	5071
650	9429	5055
651	9436	5036
652	9446	5019
653	9452	5001
654	9462	4984
655	9471	4966
656	9480	4949
657	9489	4932
658	9496	4913
659	9505	4896
660	9516	4880
661	9532	4866
662	9555	4856
663	9565	4840
664	9574	4823
665	9582	4805
666	9592	4789
667	9600	4771
668	9610	4754
669	9624	4740
670	9631	4722
671	9639	4705
672	9646	4686
673	9654	4669
674	9663	4652
675	9672	4636
676	9680	4618
677	9693	4603
678	9702	4586
679	9712	4570
680	9722	4554
681	9730	4536
682	9739	4520
683	9747	4503
684	9754	4485
685	9763	4468
686	9770	4451
687	9779	4434
688	9787	4417
689	9798	4402
690	9806	4385
691	9817	4369
692	9826	4353
693	9835	4336
694	9844	4320
695	9856	4305
696	9864	4288
697	9871	4270
698	9879	4254
699	9888	4238
700	9897	4221
701	9905	4204
702	9914	4188
703	9922	4172
704	9930	4155
705	9939	4139
706	9947	4122
707	9955	4105
708	9963	4089
709	9970	4072
710	9977	4055
711	9991	4041
712	10001	4025
713	10011	4010
714	10019	3993
715	10035	3980
716	10043	3964
717	10051	3947
718	10060	3931
719	10066	3914
720	10075	3898
721	10082	3882
722	10096	3868
723	10112	3855
724	10123	3839
725	10136	3825
726	10144	3809
727	10151	3792
728	10160	3777
729	10170	3761
730	10179	3745
731	10193	3731
732	10203	3716
733	10211	3700
734	10218	3684
735	10227	3668
736	10238	3653
737	10248	3638
738	10256	3622
739	10263	3605
740	10271	3590
741	10277	3573
742	10291	3559
743	10303	3545
744	10309	3528
745	10317	3512
746	10323	3496
747	10331	3480
748	10341	3465
749	10353	3451
750	10360	3435
751	10368	3419
752	10375	3403
753	10388	3389
754	10398	3374
755	10406	3358
756	10417	3344
757	10423	3327
758	10432	3312
759	10441	3297
760	10451	3282
761	10463	3267
762	10470	3252
763	10480	3237
764	10490	3222
765	10501	3207
766	10507	3191
767	10515	3176
768	10522	3160
769	10529	3145
770	10537	3129
771	10548	3115
772	10559	3100
773	10566	3085
774	10577	3070
775	10591	3057
776	10598	3041
777	10605	3026
778	10612	3010
779	10620	2995
780	10627	2980
781	10637	2965
782	10646	2950
783	10652	2934
784	10663	2920
785	10672	2905
786	10681	2890
787	10691	2876
788	10700	2861
789	10710	2847
790	10717	2831
791	10725	2816
792	10731	2801
793	10743	2787
794	10751	2772
795	10765	2758
796	10775	2744
797	10783	2729
798	10792	2715
799	10805	2701
800	10812	2686
801	10822	2672
802	10830	2656
803	10838	2642
804	10845	2627
805	10856	2612
806	10866	2598
807	10888	2587
808	10898	2573
809	10908	2558
810	10928	2546
811	10937	2532
812	10949	2518
813	10958	2503
814	10970	2490
815	10983	2476
816	10995	2462
817	11004	2448
818	11017	2434
819	11030	2421
820	11041	2407
821	11050	2392
822	11057	2378
823	11069	2364
824	11078	2350
825	11088	2335
826	11097	2321
827	11105	2307
828	11114	2292
829	11121	2277
830	11131	2263
831	11139	2249
832	11147	2234
833	11154	2220
834	11162	2205
835	11171	2191
836	11181	2177
837	11192	2163
838	11201	2149
839	11209	2135
840	11217	2120
841	11225	2106
842	11232	2091
843	11242	2077
844	11249	2063
845	11257	2049
846	11264	2034
847	11273	2020
848	11280	2006
849	11287	1991
850	11300	1978
851	11308	1964
852	11315	1949
853	11322	1935
854	11328	1921
855	11336	1907
856	11344	1892
857	11357	1879
858	11367	1865
859	11375	1851
860	11381	1837
861	11388	1823
862	11396	1809
863	11403	1795
864	11412	1781
865	11420	1767
866	11426	1752
867	11436	1739
868	11443	1725
869	11453	1711
870	11460	1697
871	11469	1683
872	11475	1669
873	11482	1655
874	11488	1641
875	11494	1627
876	11510	1614
877	11517	1600
878	11523	1586
879	11530	1572
880	11539	1558
881	11548	1544
882	11553	1530
883	11559	1516
884	11568	1503
885	11573	1489
886	11579	1475
887	11587	1461
888	11594	1447
889	11601	1433
890	11609	1420
891	11616	1406
892	11623	1392
893	11633	1379
894	11643	1366
895	11650	1352
896	11655	1338
897	11666	1325
898	11671	1311
899	11678	1297
900	11686	1284
901	11692	1270
902	11698	1256
903	11704	1242
904	11711	1229
905	11718	1215
906	11724	1202
907	11731	1188
908	11742	1175
909	11749	1162
910	11758	1148
911	11767	1135
912	11773	1121
913	11781	1108
914	11787	1094
915	11795	1081
916	11801	1068
917	11808	1054
918	11817	1041
919	11823	1028
920	11830	1014
921	11840	1001
922	11848	988
923	11859	975
924	11866	962
925	11875	949
926	11882	935
927	11892	922
928	11898	909
929	11906	896
930	11912	882
931	11920	869
932	11932	856
933	11950	844
934	11960	831
935	11968	818
936	11975	805
937	11981	791
938	11988	778
939	11997	765
940	12007	752
941	12014	739
942	12026	726
943	12033	713
944	12044	700
945	12056	688
946	12062	675
947	12069	662
948	12076	649
949	12085	636
950	12093	623
951	12102	610
952	12108	597
953	12116	584
954	12123	571
955	12133	558
956	12145	545
957	12155	532
958	12167	520
959	12176	507
960	12184	494
961	12192	481
962	12203	468
963	12211	456
964	12217	443
965	12225	430
966	12238	417
967	12249	404
968	12257	392
969	12272	379
970	12281	366
971	12289	354
972	12296	341
973	12302	328
974	12311	315
975	12318	302
976	12325	290
977	12335	277
978	12347	264
979	12357	252
980	12363	239
981	12370	226
982	12381	214
983	12392	201
984	12399	188
985	12408	176
986	12415	163
987	12422	150
988	12428	138
989	12437	125
990	12447	113
991	12454	100
992	12463	87
993	12473	75
994	12480	62
995	12490	50
996	12503	37
997	12515	25
998	12524	12
999	12535	0
