iter	RMSE
0	0.3721411556
1	0.3646134155
2	0.3575394788
3	0.3512335749
4	0.3453399405
5	0.3395129834
6	0.3330850486
7	0.3278165041
8	0.3212356975
9	0.3158003997
10	0.3111537696
11	0.3058623677
12	0.3009683983
13	0.2956789797
14	0.291102952
15	0.2863584822
16	0.2816166803
17	0.2771465047
18	0.2732600026
19	0.268794084
20	0.2645172387
21	0.2604595438
22	0.2561706185
23	0.2519149025
24	0.2484642468
25	0.2446026567
26	0.2412538883
27	0.2378668657
28	0.2344113307
29	0.231088082
30	0.2276226543
31	0.2241615903
32	0.2213363658
33	0.2185530612
34	0.2158029439
35	0.213367498
36	0.2105843876
37	0.2077514444
38	0.2054213561
39	0.2025919732
40	0.1998904911
41	0.1978022071
42	0.1952390788
43	0.1929496935
44	0.1905233407
45	0.188113669
46	0.1860112328
47	0.1838299875
48	0.1817714615
49	0.1801692746
50	0.177997825
51	0.17620705
52	0.1743120205
53	0.1723025211
54	0.1704583719
55	0.1688782391
56	0.1674741775
57	0.165550296
58	0.1639512972
59	0.1624265561
60	0.161066944
61	0.1594921877
62	0.158055102
63	0.1566867183
64	0.1551936664
65	0.1538932548
66	0.1523249266
67	0.1509340991
68	0.1498286877
69	0.1484507289
70	0.1474475897
71	0.1460394093
72	0.1447454345
73	0.1435308105
74	0.1426275726
75	0.141419176
76	0.1404384498
77	0.1392287993
78	0.1380516113
79	0.1370897323
80	0.1361087271
81	0.1350479836
82	0.1342833251
83	0.1331169952
84	0.1321888715
85	0.131407571
86	0.1304347455
87	0.1295670508
88	0.128534812
89	0.1276764203
90	0.1266449816
91	0.1257250393
92	0.1249850566
93	0.123906015
94	0.1230270176
95	0.1222406172
96	0.1214493436
97	0.1206395009
98	0.1197907303
99	0.1193212884
100	0.1185897715
101	0.1178846807
102	0.1173120756
103	0.1164269998
104	0.1158206135
105	0.1151316104
106	0.1144605992
107	0.1137099875
108	0.1130819297
109	0.1122052847
110	0.1115384686
111	0.1109422662
112	0.1103215729
113	0.1098029659
114	0.1092929793
115	0.1087029956
116	0.1080285715
117	0.1074753231
118	0.1071333034
119	0.1065764851
120	0.1060476746
121	0.1055766729
122	0.1050486528
123	0.1046376062
124	0.1039670939
125	0.1033929863
126	0.1029613777
127	0.1023951672
128	0.1018311463
129	0.1014219789
130	0.1010785481
131	0.1005213882
132	0.1000903964
133	0.09968397111
134	0.09916488791
135	0.09890737477
136	0.09831900127
137	0.09793964983
138	0.097502194
139	0.09709410385
140	0.09670771869
141	0.09618253575
142	0.09578722144
143	0.09532854421
144	0.09503847121
145	0.09459330948
146	0.09428394954
147	0.09388304243
148	0.09362829309
149	0.09333594362
150	0.09294852103
151	0.09246608319
152	0.09213999145
153	0.0917299589
154	0.09127992008
155	0.09082471908
156	0.09019960276
157	0.08964355145
158	0.08924393952
159	0.08893061768
160	0.08859163038
161	0.08819980467
162	0.08787488818
163	0.08752207956
164	0.08712144205
165	0.08677328459
166	0.08633681114
167	0.08602633895
168	0.08567585713
169	0.08525475625
170	0.08502794578
171	0.08473213891
172	0.0842855818
173	0.08399258545
174	0.08376045334
175	0.08334166339
176	0.08300850523
177	0.08269039454
178	0.08235910365
179	0.08203628809
180	0.0815693325
181	0.08128989101
182	0.08093310841
183	0.08068450558
184	0.08033909992
185	0.08008458118
186	0.07973411705
187	0.07943379086
188	0.07913176799
189	0.07879856435
190	0.07837823578
191	0.07805124449
192	0.07778527242
193	0.07726147356
194	0.07685228944
195	0.07655826366
196	0.07624249608
197	0.07603623642
198	0.07571398604
199	0.07548006437
200	0.07516726061
201	0.07486305272
202	0.07456957507
203	0.07429661162
204	0.0740358023
205	0.07369733818
206	0.0733708604
207	0.07305561722
208	0.07282023609
209	0.07255801419
210	0.07234319299
211	0.07201024057
212	0.07167648754
213	0.07151557287
214	0.07128675287
215	0.07098437456
216	0.07079154419
217	0.07054640575
218	0.07034282747
219	0.07008917328
220	0.06970730077
221	0.06939753095
222	0.06903080396
223	0.06869818711
224	0.06850914384
225	0.06824637538
226	0.06793700312
227	0.06772304451
228	0.06749252665
229	0.06712714912
230	0.06682049847
231	0.06661179119
232	0.06640421591
233	0.06608549984
234	0.0658582508
235	0.06574720852
236	0.065560166
237	0.06537814365
238	0.06521087319
239	0.06494709821
240	0.06467695799
241	0.06444120164
242	0.06412786992
243	0.06392519431
244	0.0637150822
245	0.06352014738
246	0.06327511275
247	0.06309408131
248	0.06281365185
249	0.06267469826
